Year,Month,Season,Day,Weekday,Weekend,Hour,Temperature,Pressure,Humidity,Wind_Speed,Wind_Direction,Rainfall,Season2,weighted,weighted2,Load
2019,1,4,1,2,1,0,15.3,1020.3,97,2,77,0.5,1,35.1139,878.53,1773.6
2019,1,4,1,2,1,1,15.3,1020,97,2.1,80,1,1,35.69258,879.53,1675.2
2019,1,4,1,2,1,2,15.3,1019.4,97,2.3,78,0.5,1,36.24179,879.23,1677.6
2019,1,4,1,2,1,3,15.3,1019.2,97,2.2,71,0,1,36.77476,878.03,1706.4
2019,1,4,1,2,1,4,15.2,1019.2,97,1.9,76,0.5,1,37.35845,879.4,1665.6
2019,1,4,1,2,1,5,15.2,1019.8,97,2.4,73,0.5,1,37.92859,879.54,1754.4
2019,1,4,1,2,1,6,15.2,1020.4,97,2.5,74,1,1,38.51598,880.5,1773.6
2019,1,4,1,2,1,7,15.3,1021.3,97,2.1,70,0,1,39.09155,880.25,1999.2
2019,1,4,1,2,1,8,15.5,1021.7,96,2.6,75,0.5,1,39.70198,881.75,2097.6
2019,1,4,1,2,1,9,15.5,1021.6,96,2.4,78,0.5,1,40.28299,882.67,2114.4
2019,1,4,1,2,1,10,15.4,1021.1,95,2.1,79,0,1,40.82733,882.44,2150.4
2019,1,4,1,2,1,11,15.4,1019.7,95,1.7,82,0,1,41.38167,882.8,2181.6
2019,1,4,1,2,1,12,15.4,1018.8,95,2.7,81,0.5,1,41.93361,882.94,2224.8
2019,1,4,1,2,1,13,15.7,1018.2,93,3,74,0,1,42.4657,881.07,2244
2019,1,4,1,2,1,14,15.5,1018.5,94,2.4,80,0,1,43.05985,882.93,2220
2019,1,4,1,2,1,15,15.5,1019.1,95,2,78,0,1,43.64109,883.49,2277.6
2019,1,4,1,2,1,16,15.1,1019.8,95,2.6,81,0,1,44.20698,884.61,2248.8
2019,1,4,1,2,1,17,15.1,1019.7,96,2.6,70,0.5,1,44.73494,883.27,2260.8
2019,1,4,1,2,1,18,15.2,1019.5,95,3.3,74,0,1,45.32017,884.1,2270.4
